crew_size metabolic_profile metabolic_rate insulation_loss airlock_failure vacuum_severity vacuum_fault flow_rate_b mesh_size filter_clog_fault lstm_param_filter screen_blinding leak_severity leak_fault valve_severity valve_fault bed_length_a bed_length_b pellet_bed_ratio system_leak heater_failure half_cycle_time airflow_rate fan fire water_fault inlet_humidity heater_fault_b evaporator_fault compressor_fault humidity_fault ihab_config halo_config
One short low very_small True low high_vaccuum nominal nominal clogged Mok nominal low degraded low nominal short short r_24to48 nominal nominal short nominal with nominal nominal nominal nominal nominal nominal nominal config1 config1
Two long low very_small False high nominal nominal nominal nominal Mok nominal low off_nominal low nominal short short r_42to94 medium low very_short nominal with nominal nominal nominal nominal nominal nominal off_nominal config1 config1
Two long low very_small False very_low nominal nominal nominal nominal Mok nominal low degraded low nominal short short r_24to48 nominal nominal short nominal without nominal nominal nominal nominal nominal nominal nominal config1 config2
One long low very_small False high nominal nominal nominal nominal Mok faulty high degraded low nominal short short r_42to94 low nominal short off_nominal with nominal nominal too_humid nominal nominal nominal nominal config1 config1
Two long high very_small False very_low nominal nominal nominal clogged Mok nominal low degraded low nominal short short r_24to48 nominal nominal very_short nominal with nominal nominal nominal nominal nominal nominal nominal config1 config1
One long low very_high False low nominal nominal nominal nominal Mok nominal low degraded low nominal short short r_42to94 nominal nominal short nominal without nominal nominal nominal nominal off_nominal nominal nominal config2 config2
Two long low very_small False very_low high_vaccuum nominal nominal clogged Mok nominal low degraded low nominal short short r_24to48 nominal nominal very_short off_nominal with nominal nominal nominal nominal nominal nominal nominal config2 config1
Two short medium very_small False low nominal nominal nominal clogged Mok nominal low degraded low nominal short short r_24to48 low nominal very_short nominal with nominal nominal nominal nominal nominal nominal nominal config2 config1
One long medium small False low nominal off_up nominal nominal Mok nominal low degraded low nominal short short r_24to48 nominal medium short off_nominal with nominal off_nominal nominal nominal nominal nominal nominal config1 config1
Two long high small False high nominal off_down nominal nominal Mko nominal low degraded low nominal short short r_24to48 nominal nominal short nominal without nominal nominal nominal nominal off_nominal nominal off_nominal config1 config1
One long low small False high nominal nominal nominal nominal Mok nominal low degraded low nominal short short r_42to94 nominal nominal very_short nominal with nominal nominal too_humid nominal off_nominal nominal nominal config1 config1
Two short low very_small False low nominal nominal degraded clogged Mok nominal low degraded low nominal short short r_24to48 nominal nominal very_short off_nominal with off_nominal off_nominal too_humid nominal nominal nominal off_nominal config1 config1
Two long low very_small False very_high nominal nominal nominal clogged Mko nominal low off_nominal low nominal short short r_24to48 nominal nominal short nominal with off_nominal nominal nominal nominal nominal nominal nominal config1 config1
One long low small False very_low high_vaccuum degraded_up nominal nominal Mok nominal low degraded low nominal short short r_24to48 nominal low short nominal with nominal off_nominal too_dry nominal off_nominal nominal nominal config1 config1
One long low very_small False low high_vaccuum nominal nominal nominal Mok nominal high degraded high nominal short short r_42to94 medium nominal very_short off_nominal with nominal off_nominal nominal nominal nominal nominal nominal config1 config1
Two long low very_small True high nominal nominal nominal nominal Mok nominal high degraded low stiction short short r_24to48 nominal nominal very_short nominal with nominal nominal nominal nominal nominal off_nominal nominal config1 config1
Two long low very_small False very_low high_vaccuum nominal nominal clogged Mok nominal low degraded low nominal short short r_24to48 nominal nominal very_short off_nominal without nominal nominal nominal nominal nominal nominal nominal config1 config1
Two long low very_small False high nominal nominal nominal nominal Mok nominal low off_nominal low nominal short short r_24to48 nominal nominal very_short nominal with nominal nominal nominal nominal nominal nominal nominal config1 config1
Two long low very_small False very_low high_vaccuum nominal nominal nominal Mko nominal low off_nominal low nominal short short r_24to48 nominal nominal short off_nominal with nominal nominal nominal nominal nominal nominal off_nominal config2 config1
One long low very_small False very_low nominal nominal nominal clogged Mok nominal low degraded low nominal short short r_24to48 nominal nominal short off_nominal with nominal nominal too_dry nominal off_nominal nominal nominal config1 config1
Two short low very_small True medium nominal nominal nominal nominal Mok nominal low degraded low nominal short short r_42to94 nominal nominal short nominal with nominal nominal nominal nominal nominal nominal nominal config1 config1
Two long low very_small False high nominal nominal nominal nominal Mok nominal low degraded low nominal short short r_24to48 nominal nominal short nominal with nominal nominal nominal nominal nominal nominal nominal config1 config1
One long low very_small False low nominal nominal nominal nominal Mko nominal high degraded low stiction short short r_24to48 medium nominal very_short nominal with nominal nominal nominal nominal nominal nominal nominal config2 config1
Two long medium very_small False very_low high_vaccuum nominal nominal clogged Mok nominal high off_nominal low nominal short short r_24to48 medium nominal short nominal with off_nominal nominal nominal nominal nominal nominal off_nominal config1 config1
Two short low very_small False very_low nominal nominal nominal clogged Mok nominal high off_nominal low nominal short short r_42to94 nominal nominal short off_nominal with nominal nominal nominal nominal nominal off_nominal off_nominal config1 config1
One long low very_small False high nominal nominal nominal clogged Mok nominal low degraded low nominal short short r_42to94 nominal nominal very_short nominal with nominal nominal nominal nominal nominal nominal nominal config2 config1
Two long low very_small False very_low nominal nominal nominal nominal Mko nominal low degraded low nominal short short r_42to94 low nominal very_short nominal with off_nominal nominal too_humid nominal nominal nominal nominal config1 config2
One short very_high very_small False low nominal nominal nominal nominal Mok nominal low degraded low stiction short short r_24to48 high nominal very_short nominal with nominal nominal too_humid nominal nominal nominal nominal config1 config1
Two long low very_small False low nominal nominal nominal nominal Mok nominal low degraded low nominal short short r_24to48 nominal nominal very_short nominal with nominal nominal too_humid nominal nominal nominal off_nominal config1 config1
Two long low very_small False very_low nominal nominal nominal nominal Mko nominal low degraded low nominal short short r_24to48 nominal nominal short nominal with off_nominal nominal nominal nominal nominal nominal nominal config1 config1
One short medium very_small False very_low nominal nominal nominal nominal Mok nominal high degraded low nominal short short r_24to48 medium nominal short off_nominal with off_nominal nominal too_dry off_nominal nominal nominal nominal config1 config1
Two long low very_small False medium nominal off_down nominal nominal Mok nominal high degraded low nominal short short r_24to48 low nominal short nominal with nominal nominal nominal nominal nominal nominal nominal config1 config1
Two long low very_small False very_high nominal nominal nominal nominal Mok nominal high degraded low nominal short short r_24to48 nominal nominal very_short nominal with off_nominal nominal nominal off_nominal nominal nominal nominal config1 config1
Two short low very_small False low high_vaccuum nominal nominal clogged Mok nominal low degraded low nominal short short r_24to48 nominal nominal very_short nominal with off_nominal nominal nominal nominal off_nominal nominal nominal config1 config1
One long low very_high False low high_vaccuum nominal nominal nominal Mok nominal low off_nominal low nominal short short r_24to48 low nominal very_short nominal with nominal nominal nominal nominal nominal off_nominal nominal config1 config1
Two short medium very_small False medium nominal nominal nominal nominal Mok nominal low degraded low nominal short short r_42to94 nominal nominal short off_nominal with nominal nominal nominal off_nominal nominal nominal nominal config1 config1
One long low very_small False medium nominal nominal nominal clogged Mok nominal low degraded low nominal short short r_24to48 nominal nominal very_short nominal with nominal nominal nominal nominal off_nominal nominal nominal config1 config1
Two long low very_high False very_low nominal nominal nominal nominal Mok nominal low degraded low nominal short short r_24to48 high nominal short nominal with off_nominal nominal nominal off_nominal off_nominal nominal nominal config1 config1
Two long low small True very_low nominal nominal nominal nominal Mok faulty low degraded low nominal short short r_24to48 nominal nominal short nominal with off_nominal nominal too_dry nominal nominal nominal nominal config2 config1
One long high very_small False low nominal nominal nominal nominal Mok nominal low degraded low nominal short short r_24to48 nominal medium very_short nominal with nominal nominal nominal nominal off_nominal nominal nominal config2 config1
Two short low very_small False medium nominal nominal nominal clogged Mok nominal low degraded low nominal short short r_24to48 medium nominal short nominal with nominal nominal nominal nominal nominal nominal nominal config1 config1
One short low very_small False low nominal nominal nominal nominal Mok nominal low degraded high nominal short short r_42to94 nominal nominal very_short nominal with off_nominal nominal nominal nominal off_nominal nominal off_nominal config1 config1
Two long low very_small False very_low high_vaccuum off_down nominal nominal Mko nominal low degraded low nominal short short r_42to94 low nominal short nominal with nominal nominal nominal off_nominal nominal nominal nominal config1 config1
One long low very_small False medium nominal nominal nominal nominal Mok nominal low degraded high nominal short short r_24to48 low nominal very_short off_nominal with nominal nominal nominal nominal off_nominal nominal nominal config1 config2
Two long medium very_small False very_low nominal nominal nominal clogged Mko nominal low off_nominal low stiction short short r_24to48 nominal medium short nominal with nominal nominal nominal off_nominal nominal nominal off_nominal config1 config1
Two long low very_high False medium nominal nominal nominal nominal Mko nominal low degraded low nominal short short r_24to48 medium low short off_nominal with nominal nominal nominal nominal nominal nominal nominal config1 config1
Two short low very_small False medium nominal nominal nominal nominal Mok faulty low degraded low nominal short short r_24to48 nominal nominal very_short nominal with nominal nominal nominal nominal nominal nominal off_nominal config1 config1
Two short high very_small False medium high_vaccuum nominal nominal clogged Mok faulty high degraded low nominal short short r_24to48 nominal nominal short nominal with nominal nominal too_humid nominal off_nominal nominal nominal config1 config1
Two short low very_small False medium nominal nominal nominal clogged Mko nominal low degraded low nominal short short r_24to48 nominal nominal very_short nominal with nominal nominal too_dry nominal nominal nominal nominal config1 config1
One long low very_small False very_low nominal nominal nominal nominal Mok nominal low degraded low nominal short short r_24to48 nominal nominal very_short nominal with nominal nominal too_humid nominal off_nominal nominal nominal config1 config1
One long low very_small False low nominal nominal nominal clogged Mok nominal low degraded low nominal short short r_24to48 low nominal very_short nominal with nominal nominal too_humid off_nominal nominal off_nominal nominal config1 config1
One long low very_small False low nominal nominal nominal nominal Mko nominal high degraded low nominal short short r_24to48 nominal nominal short nominal with nominal nominal nominal nominal nominal nominal nominal config1 config1
Two long low very_small False low nominal degraded_up nominal nominal Mok nominal low off_nominal low nominal short short r_24to48 low nominal very_short nominal with nominal nominal nominal nominal nominal nominal nominal config1 config1
Two long low very_small False high nominal nominal nominal nominal Mok nominal low degraded low nominal short short r_24to48 nominal nominal short nominal with nominal nominal nominal off_nominal nominal nominal nominal config2 config1
Two short low very_small False very_low nominal nominal nominal nominal Mok nominal low degraded high nominal short short r_24to48 medium nominal very_short nominal with off_nominal nominal nominal nominal nominal nominal off_nominal config1 config2
One long high very_small False low nominal nominal nominal nominal Mok nominal low degraded low nominal short short r_24to48 nominal nominal short nominal with nominal nominal nominal off_nominal nominal nominal nominal config2 config1
Two long low small True low high_vaccuum nominal nominal nominal Mko nominal low degraded low nominal short short r_24to48 medium medium very_short nominal with nominal nominal nominal off_nominal nominal nominal off_nominal config1 config1
Two long low very_small False medium nominal nominal nominal clogged Mok nominal low degraded low nominal short short r_24to48 high nominal short off_nominal with off_nominal nominal nominal nominal off_nominal nominal nominal config1 config1
One long medium very_small False low high_vaccuum nominal nominal nominal Mok nominal high degraded low nominal short short r_24to48 medium medium short off_nominal with nominal nominal nominal nominal nominal off_nominal nominal config1 config1
One long very_high very_small False very_low nominal nominal nominal clogged Mok nominal low degraded low nominal short short r_24to48 nominal nominal short nominal with nominal nominal nominal off_nominal nominal nominal nominal config1 config1
One short low very_small False low high_vaccuum nominal nominal nominal Mok nominal low degraded low stiction short short r_24to48 high nominal short off_nominal with nominal nominal too_humid nominal nominal nominal nominal config1 config1
Two long low very_small False low nominal nominal nominal nominal Mok nominal high degraded low nominal short short r_24to48 nominal nominal short nominal without off_nominal nominal nominal nominal nominal nominal nominal config1 config1
Two long low very_small False high nominal nominal nominal nominal Mok nominal low degraded low nominal short short r_24to48 low nominal very_short off_nominal with nominal nominal nominal nominal nominal nominal off_nominal config2 config1
One long medium very_small False medium nominal nominal nominal nominal Mok nominal low degraded low nominal short short r_24to48 low nominal very_short nominal with off_nominal nominal nominal nominal off_nominal nominal nominal config2 config1
One long low very_small False high nominal off_up nominal nominal Mok nominal low off_nominal low nominal short short r_24to48 high nominal short nominal with nominal nominal too_dry nominal nominal nominal off_nominal config1 config1
Two short low very_small False very_low nominal nominal nominal nominal Mok nominal low off_nominal low nominal short short r_42to94 nominal nominal short nominal with nominal nominal nominal nominal nominal nominal nominal config1 config1
